p_iso3,p_country_name,fsi_2022_ss_p,contr_ss_fdi_inward,fdi_inward,contr_ss_fdi_eq_inward,fdi_eq_inward,contr_ss_fdi_debt_inward,fdi_debt_inward,contr_ss_fdi_outward,fdi_outward,contr_ss_fdi_eq_outward,fdi_eq_outward,contr_ss_fdi_debt_outward,fdi_debt_outward,contr_ss_pi_inward,pi_inward,contr_ss_pi_eq_inward,pi_eq_inward,contr_ss_pi_debt_inward,pi_debt_inward,contr_ss_pi_outward,pi_outward,contr_ss_pi_eq_outward,pi_eq_outward,contr_ss_pi_debt_outward,pi_debt_outward,contr_ss_imports_tot,imports_tot,contr_ss_imports_agric,imports_agric,contr_ss_imports_chemic,imports_chemic,contr_ss_imports_electro,imports_electro,contr_ss_imports_machine,imports_machine,contr_ss_imports_metals,imports_metals,contr_ss_imports_mineral,imports_mineral,contr_ss_imports_stone,imports_stone,contr_ss_imports_textil,imports_textil,contr_ss_imports_vehicle,imports_vehicle,contr_ss_exports_tot,exports_tot,contr_ss_exports_agric,exports_agric,contr_ss_exports_chemic,exports_chemic,contr_ss_exports_electro,exports_electro,contr_ss_exports_machine,exports_machine,contr_ss_exports_metals,exports_metals,contr_ss_exports_mineral,exports_mineral,contr_ss_exports_stone,exports_stone,contr_ss_exports_textil,exports_textil,contr_ss_exports_vehicle,exports_vehicle
SWE,Sweden,44.625,8.3283443,199.823900601673,9.1035395,172.675243359585,8.0542507,21.0577891751,7.2059913,104.70176,8.21068,104.70176,,,15.953949,1020.52047155506,21.983675,720.54003815487,14.129873,300.102724649024,1.7540948,1.21186205600851,,,2.3451414,1.21186205600851,8.561904,366.84055,9.695714,72.32153939624027,9.329567,48.29501032684185,14.546362,79.74803968029005,13.030035,111.483729390981,11.317479,29.96407929617551,2.7445962,.294035993784666,8.2745075,3.49251702606387,5.5027885,2.990209008560632,9.5483007,18.25140403525159,7.4647522,207.44278,10.285613,70.98202850235602,7.2623644,15.69611381447443,7.3272982,7.146546039260924,5.9506178,7.175184041619301,7.9868379,8.476255120727233,.76583695,.0060579998940229,5.2584238,.7966349950581789,17.777407,85.86186014487781,9.309371,11.30211506130546
LBR,Liberia,73.25,7.7624755,1.870284,6.5982122,.76,13.357354,1.110284,,,,,,,,,,,,,,,,,,,16.802456,32.049419,14.353222,2.712138058598852,,,.72893465,.0001159999966621,,,,,,,,,8.6340141,.1335139961242676,49.392529,29.20365234375,16.592907,26.336315,30.566273,21.53380386843882,19.890432,3.727572965592146,9.3820753,.1734190000221133,10.507524,.456649986743927,4.2320533,.0145770001113415,,,4.2961836,.0050219998955727,2.7240796,.0035710000991821,13.758006,.421697003364563
LKA,Sri Lanka,75.75,7.6083803,1.30199206,3.8247635,.109439293810831,15.577708,1.30199206,,,,,,,,,,,,,13.239179,4.45284371783056,,,17.700153,4.45284371783056,20.122551,40.698261,21.732786,6.960409002397326,24.913273,7.859059015479521,16.657679,1.02343600979168,17.804024,2.430466008482734,16.167183,.7464749932636041,31.588377,3.830958084486425,17.420258,.2785070058088749,47.84227,16.79379399082577,16.294331,.7751540035734652,43.125896,341.84329,65.264648,154.9716784943298,67.628349,108.3189886457602,40.521137,10.32927316435147,32.55624,10.04176412169554,34.376129,5.775782034320175,52.815933,16.98148407419841,27.860796,1.012590000371216,58.209797,25.75987112295151,41.653442,8.651903000712394
ASM,American Samoa,69.300003,7.5546913,2.83939836448,8.6608114,2.83060836448,2.2543201,.00879,,,,,,,,,,,,,,,,,,,3.6964252,.561975,3.7590868,.0802380027770996,4.8259387,.1272529994994402,5.3854961,.0770439992378233,4.4352922,.0837040024101734,4.0274115,.0257059998512268,,,,,7.8634248,.1661089956550859,1.6883721,.0019210000038147,6.3384566,2.4177289,12.025375,2.159527002692223,2.5850966,.0134770002365112,2.6598637,.0065079997889698,,,8.6238012,.2031329956054687,,,6.2255535,.0251669998168945,3.2423518,.0099169998764992,,
ZAF,South Africa,60.049999,7.3426266,9.464829700000021,8.406146,9.396737400000021,6.8816104,.9078092029,19.162724,136.09166,21.836214,136.12427,,,14.841804,56.7889782000001,22.546385,53.7248247000001,7.4694648,3.06415350000001,,,,,,,23.646793,534.15851,28.839588,131.5474155205052,16.862679,19.70990199471777,8.9488764,1.283362995374948,15.707948,13.49957688393281,59.602695,302.5078060824404,39.424747,60.23638650490297,6.519341,.1180620033247396,7.3048601,.4834769990144996,14.878099,4.772514941871166,26.345959,630.34912,42.030289,334.7587718376498,29.495377,72.6786657466333,26.477728,23.30739475010754,28.403034,53.92970975381927,24.256586,16.41177377223701,16.709221,4.348865115051391,31.618492,11.9702501164386,38.548477,60.5067448870918,37.834148,52.43696347989841
AGO,Angola,79.449997,6.8376579,.6152513000000001,,,13.999699,.6152513000000001,,,,,,,,,,,,,,,,,,,21.83597,33.856567,4.9908929,.054880999814719,6.3164358,.0833860016055405,43.070057,11.51707701550238,9.0368986,.2069149997700006,31.576849,3.620906928678043,61.4631,18.37247119140625,1.2684567,.000070000000298,1.9523554,.0007430000007153,.99814492,.0001159999966621,34.749741,116.43033,60.624893,80.86672195756668,51.64859,31.41177470461978,12.296393,.187913002949208,8.3037815,.1084759993271436,26.736988,1.76919604166178,8.0308867,.0388660011291504,13.554048,.0759030032753944,16.747648,.3994069968154654,27.221045,1.572070974677801
RUS,Russia,59.599998,6.4309697,6.80438090726769,7.3801837,6.80438090726769,1.8408191,.0185933886,2.8382235,.47315168,3.2339404,.47315168,,,23.376358,237.429957385608,2.774997,.107184658,31.129023,237.322772727608,2.4937696,.257543612194257,,,3.3340514,.257543612194257,24.955112,671.78882,18.072811,34.64123020555346,30.792608,128.4236594434524,12.799958,4.018558976918459,23.758894,49.98517707909399,51.573719,209.7128853248407,57.06971,195.5104311631694,15.940993,1.846911027837545,7.4041843,.5387319935781416,31.203697,47.11119211257994,32.298702,1242.7826,54.235382,769.6509689848879,31.253654,92.52268402916542,39.223518,81.0759560519331,31.466251,78.46388194159174,37.545319,65.12304387068551,6.8398719,.3191920025348663,18.027626,2.374084994199686,48.900017,132.1630405098472,27.304096,21.0896666200608
JEY,Jersey,63.450001,5.9724107,3.1027,6.853941,3.1027,,,,,,,,,55.977402,1855.986,85.92836,1811.7,21.463341,44.286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUN,Hungary,55.200001,4.7279963,5.392065382899999,,,9.6802921,5.392065382899999,,,,,,,3.396857,1.45278450363196,3.6105938,.470809792843691,3.9703698,.98197471078827,,,,,,,8.8289013,59.325127,8.7663088,7.883713078675326,11.07963,11.93015280687972,16.597513,17.47182187922299,12.284844,13.77958000629197,9.8093214,2.877538018708583,5.0423632,.2689180036783219,8.6500282,.5884599922113121,7.0615349,.9319719842677004,10.513027,3.592969972714782,11.510462,112.17155,8.576932,6.070241939475992,17.838512,34.30726685476117,26.529654,50.027822854436,13.59444,12.61778787727561,8.1991358,1.352496035200078,.31638995,.0000630000010133,4.2494192,.0620059999674559,14.813399,7.326754035895574,5.8191228,.407120993077755
POL,Poland,46.049999,4.5714574,24.904214559387,4.5284781,16.017454235845,6.6979017,9.126223925074498,2.4053288,2.934495,2.7406893,2.934495,3.2997227,.26607066,7.5142069,80.35334184759469,,,3.9156699,4.8129428051,.9201138,.131812318255938,,,1.2301484,.131812318255938,8.7277803,292.82977,9.0057001,43.67351042685111,8.216877,24.86426386605366,12.216641,35.59998115008837,16.023289,156.2309762974642,11.587576,24.23634795252781,3.4310789,.4329070093155606,6.4341211,1.237420003297739,6.309989,3.397631005072268,5.8460207,3.156723066017032,12.251078,691.05487,11.486407,74.49855686133064,16.193954,131.1457269907825,23.826036,185.1643455184838,12.801702,53.83782016388921,11.616104,19.65162289368256,.89382619,.0072579999752343,10.764606,5.150205940354615,26.402451,211.965581448296,9.6995668,9.633697993052191
