p_iso3,p_country_name,fsi_2022_ss_p,contr_ss_fdi_inward,fdi_inward,contr_ss_fdi_eq_inward,fdi_eq_inward,contr_ss_fdi_debt_inward,fdi_debt_inward,contr_ss_fdi_outward,fdi_outward,contr_ss_fdi_eq_outward,fdi_eq_outward,contr_ss_fdi_debt_outward,fdi_debt_outward,contr_ss_pi_inward,pi_inward,contr_ss_pi_eq_inward,pi_eq_inward,contr_ss_pi_debt_inward,pi_debt_inward,contr_ss_pi_outward,pi_outward,contr_ss_pi_eq_outward,pi_eq_outward,contr_ss_pi_debt_outward,pi_debt_outward,contr_ss_imports_tot,imports_tot,contr_ss_imports_agric,imports_agric,contr_ss_imports_chemic,imports_chemic,contr_ss_imports_electro,imports_electro,contr_ss_imports_machine,imports_machine,contr_ss_imports_metals,imports_metals,contr_ss_imports_mineral,imports_mineral,contr_ss_imports_stone,imports_stone,contr_ss_imports_textil,imports_textil,contr_ss_imports_vehicle,imports_vehicle,contr_ss_exports_tot,exports_tot,contr_ss_exports_agric,exports_agric,contr_ss_exports_chemic,exports_chemic,contr_ss_exports_electro,exports_electro,contr_ss_exports_machine,exports_machine,contr_ss_exports_metals,exports_metals,contr_ss_exports_mineral,exports_mineral,contr_ss_exports_stone,exports_stone,contr_ss_exports_textil,exports_textil,contr_ss_exports_vehicle,exports_vehicle
SAU,Saudi Arabia,68.949997,2.1251078,.0661469816272966,,,4.3510323,.0661469816272966,1.6511638,.02509799,,,,,40.420033,330.676200249901,,,53.833256,330.676200249901,,,,,,,31.571484,366.47742,20.384689,13.39171725462657,52.129585,167.8674326966926,10.236029,.5536650040894747,23.546734,13.10878501261771,33.251434,15.14184585464001,81.137978,151.3677441101074,17.87817,.7019030105769635,21.646574,3.626740041166544,11.976078,.7175589822530747,14.995787,33.508553,18.516527,8.251488027095794,6.6112628,.2359430027008057,,,2.9966011,.0182569999694824,34.179218,13.23615000581741,35.184635,11.70510573482513,5.1618171,.0150139999389648,5.3487148,.0465950012207031,,
RWA,Rwanda,72.125,1.9311618,.0331023622047244,,,3.9539394,.0331023622047244,25.613132,62.473015,24.010023,34.787712,,,,,,,,,,,,,,,2.6687741,.147616,3.7055364,.053643001196906,2.0313759,.0066240001693368,5.3933578,.0540089985057712,2.479094,.0102019999474287,3.2132421,.009111999778077,2.3773255,.0025390000343323,.84828562,.0000500000007451,3.4029281,.0093959997184575,1.942217,.0020409999080002,6.6137314,1.917006,4.0154567,.0561170006357133,6.8375778,.1740590038001537,10.371201,.269266998320818,2.9388103,.0114840000160038,2.0868423,.0020089999642223,19.656269,1.360991029366851,3.6606243,.0035710000917315,5.5101671,.0339720007181168,3.098289,.0055359998494387
CZE,Czechia,50,1.8524313,.7900813648293961,,,3.7927434,.7900813648293961,,,,,,,,,,,,,,,,,,,10.157872,220.11458,10.18768,30.14589511664258,6.8366866,6.828555960195139,10.173589,9.80287204627227,15.402296,66.16147457044758,11.323444,10.78354706590204,3.1622179,.1615900001851842,6.7968884,.6955309853553772,6.9934888,2.205509013236267,23.138885,93.32960006801784,5.6773877,32.792301,2.954771,.6046490075178445,.60938388,.003331999912858,3.3073492,.236145003663376,1.2273908,.0226240000873804,1.7078024,.0297760005891323,18.669584,31.53539453125,3.5158851,.0855599975585938,2.5583181,.0919459995077923,3.3120394,.1828769986629486
MLT,Malta,54.549999,1.5725927,.220735154855643,,,3.2197905,.220735154855643,4.4182105,3.9597087,,,,,,,,,,,,,,,,,6.9208002,31.789719,8.3610659,7.609646828107071,4.8464227,1.110793002103455,1.4906129,.014080000218004,2.5695777,.1402850008178502,1.375114,.0088189997598529,,,.69733834,.0003429999947548,1.5458057,.0108759999293834,18.810036,22.89487479227781,.60875529,.01846,.49087942,.001265999995172,.93590832,.0055119999274611,.59186715,.0006179999858141,.97752917,.0052190001085401,.35292587,.0001199999973178,,,.52623016,.0001309999972582,1.3066481,.0055939999371767,,
ISL,Iceland,42.450001,1.4930921,1.80524401574803,,,3.1125989,1.90551181102362,,,,,,,,,,,,,,,,,,,4.3058929,73.157837,8.2819042,70.66812252378463,.096579634,.0000839999988675,.90121955,.0297339994609356,1.2479892,.153571996435523,.54904848,.0053639998435974,4.6799183,2.28551806640625,,,.081085734,.0000149999996647,.77738523,.0154429998397827,.2363773,.010327,.36768928,.005084000069648,.29110891,.001584999974817,,,,,,,,,,,.53445929,.0036580000324175,,
TUN,Tunisia,59.575001,1.1893771,.0432073490813648,,,2.435179,.0432073490813648,1.3792038,.054498628,,,,,,,,,,,,,,,,,12.820915,91.443115,5.1938686,.8253319943547249,8.6106682,2.818745965719223,3.1899476,.0624359975233674,2.8795648,.0893269999474287,9.4453325,1.293096956014633,42.628277,81.78733062744141,1.3842877,.0012139999866486,7.6730747,.6018509861826896,13.655928,3.963776186943054,2.1884487,.388051,1.9575583,.0363269983530045,.6901415,.0009999999860302,.38836941,.0000790000036359,.72061878,.0009459999799728,,,,,5.7989407,.0793170013427734,6.191946,.2693420132398605,1.0000055,.001039999961853
LKA,Sri Lanka,75.75,1.0617225,.0035380577427821,,,2.1738141,.0035380577427821,,,,,,,,,,,,,,,,,,,11.076969,6.7887459,18.825741,4.524231945987209,13.095152,1.141326004124945,4.6797743,.0226930004917085,5.5482635,.0735540004372597,4.3481526,.014522000271827,6.5259647,.0337799987792969,2.4783766,.0008020000196993,13.723676,.3963919950535055,14.805057,.5814450071007013,6.5716619,1.20959,10.932188,.7283489936563419,4.2303348,.0265120006655343,1.0677731,.0001890000004787,1.0695003,.0003560000153957,14.623491,.4446240067742765,.82192671,.0000639999993145,5.7956371,.0091149997711182,1.3439029,.000316999998875,.81159681,.0000640000030398
HRV,Croatia,53.125,.9586854,.0634619422572178,.46272627,.0047215578610723,1.9628515,.0634619422572178,.83307403,.03368504,,,,,,,,,,,,,,,,,3.7605186,6.4717731,2.8489501,.3820290038660168,1.144658,.0185719995629042,4.237792,.4105720048313961,5.5077014,1.753071001719683,1.967919,.0328010004460812,.53085393,.0004429999887943,.56295019,.0002290000021458,9.5078907,3.211582879841328,5.3339076,.6624730205535889,5.6101236,18.335094,4.0033207,.8714299757443369,1.2891207,.0182790008857846,1.3816795,.0099770000465214,1.277202,.0147719996646047,.29396564,.0000879999995232,17.925554,16.1752734375,,,.94248652,.0026640000119805,7.5244384,1.242609008789062
PER,Peru,54.075001,.90099633,.0449133858267717,,,1.8447366,.0449133858267717,,,,,,,,,,,,,,,,,,,7.0566235,36.457973,13.273284,32.93810254722089,3.6658936,.520106995023787,1.4400544,.0137350000441074,6.4923353,2.448007901836187,.62619931,.0009009999940172,,,2.1531689,.0109240000247955,1.1147612,.0044130000174046,5.1949272,.5217850105762482,12.622703,178.05099,3.1864634,.3746450069621206,,,,,.34902,.0002569999992847,,,42.023396,177.67609375,,,,,,
VEN,Venezuela,71.925003,.87649268,.0031732283464567,,,1.7945668,.0031732283464567,,,,,,,,,,,,,,,,,,,3.1864581,.25761801,6.0749326,.2423470001220703,,,1.3816645,.000930999994278,2.4228287,.0097640001922846,,,,,,,2.6551104,.004576000213623,,,,,,,,,,,,,,,,,,,,,,
